,Name,Price,Stores,Rating,Votes,Type,Connection,Colors,Switches
238,R-Horse RF-8801 Silver,18.40 ,3,2.8,4,Keyboard and Mouse Set,USB,2,
239,Dell KB216 Grey,10.87 ,2,4.6,80,Keyboard Only,USB,3,
240,Turbo-X SMRT-400,24.90 ,0,0.0,0,Keyboard with Touchpad,USB,0,
241,Esperanza Akron TK109,8.90 ,1,0.0,0,Keyboard with Touchpad,Ασύρματο,0,
242,UKB-500 Keyboard,13.90 ,2,0.0,0,Keyboard with Touchpad,USB,0,
243,Turbo-X T 400,29.90 ,0,0.0,0,Keyboard with Touchpad,USB,0,
244,Turbo-X DWC 8000,17.90 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
245,1Life kb:kit,12.08 ,2,0.0,0,Keyboard and Mouse Set,USB,0,
246,Universal Foldable Rose Gold,23.98 ,2,0.0,0,Keyboard Only,Bluetooth,0,
247,Remax Jinyin MK601,29.90 ,2,0.0,0,Keyboard and Mouse Set,Bluetooth / USB,0,
248,Turbo-X DWLC 6100,17.90 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
249,Viboton i8 Plus Mini,14.90 ,0,0.0,0,Keyboard with Touchpad,Bluetooth,0,
250,Rebeltec Vortex,14.40 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
251,Omega OKM071B,12.00 ,11,0.0,0,Keyboard and Mouse Set,USB,0,
252,Matias RGB Backlit Wired Aluminum Tenkeyless Keyboard for Mac Space Gray,80.22 ,0,0.0,0,Keyboard Only,USB,0,
253,Turbo-X MC 110 Blue,17.90 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
254,Turbo-X MC 110,17.90 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
255,Logickeyboard Cubase Nuendo Astra,144.00 ,0,0.0,0,Keyboard Only,USB,0,
256,Turbo-X DW-800,9.90 ,0,0.0,0,Keyboard Only,USB,0,
257,Turbo-X DWC 6000,14.90 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
258,Turbo-X DW-600,11.90 ,0,0.0,0,Keyboard Only,USB,0,
259,Matias Wireless Aluminum Tenkeyless Keyboard Silver,75.68 ,0,0.0,0,Keyboard Only,Bluetooth,0,
260,Logickeyboard Adobe Photographer PC ASTRA Backlit Keyboard,144.00 ,0,0.0,0,Keyboard Only,USB,0,
261,Art AK-46U,7.94 ,6,0.0,0,Keyboard Only,USB,0,
262,Microsoft Surface Keyboard,149.00 ,2,3.8,5,Keyboard Only,Bluetooth,0,
263,Andowl Q-811,14.30 ,0,0.0,0,Keyboard Only,USB,0,
264,Esperanza TKR101,6.00 ,0,0.0,0,Keyboard Only,USB,0,
265,uGo Etna CW110,7.73 ,3,0.0,0,Keyboard and Mouse Set,USB,0,
266,Motospeed S102,15.00 ,0,0.0,0,Keyboard with Touchpad,USB,0,
267,Yenkee YKM 2007CS,39.00 ,0,0.0,0,Keyboard and Mouse Set,USB,0,
268,Omoton Ultra-Slim Bluetooth Keyboard,39.00 ,0,0.0,0,Keyboard Only,Bluetooth,0,
269,NGS Wired Set Cocoa Kit,24.40 ,3,0.0,0,Keyboard and Mouse Set,USB,0,
270,Yenkee YKB 1002CS,10.00 ,0,0.0,0,Keyboard Only,USB,0,
271,Blow KP-106 Black,11.90 ,0,0.0,0,Keyboard Only,USB,0,
272,Q-Tech KBQ-2030,12.90 ,3,0.0,0,Keyboard Only,USB,0,
273,Logickeyboard Davinci Resolve 14 Astra,98.00 ,0,0.0,0,Keyboard Only,USB,0,
274,Riitek Rii K16,115.00 ,0,0.0,0,Keyboard with Touchpad,Bluetooth / USB,0,
275,Sandberg Wireless Numeric Keypad 2,16.90 ,3,4.5,2,Keyboard Only,USB,0,
276,Riitek Rii RK901,29.00 ,0,0.0,0,Keyboard Only,USB,0,
277,Logickeyboard Blackmagic Design DaVinci Resolve 16 Astra,144.00 ,0,0.0,0,Keyboard Only,USB,0,
278,Logitech Wireless Keyboard K230,28.38 ,1,4.5,20,Keyboard Only,USB,0,
279,Zagg ZLTKBW-BB0,59.90 ,2,0.0,0,Keyboard Only,Lightning,0,
280,Satechi Compact Backlit,79.99 ,0,0.0,0,Keyboard Only,Bluetooth,0,
281,Savio KW-03,14.02 ,2,0.0,0,Keyboard with Touchpad,USB,0,
282,Riitek Rii mini H9S,13.79 ,6,0.0,0,Keyboard with Touchpad,USB,0,
283,Mobilis RK908 Black,31.50 ,0,4.5,2,Keyboard Only,Bluetooth,3,
284,Gembird KB-BT-001 White,19.90 ,2,2.7,3,Keyboard Only,Bluetooth,2,
285,Esperanza EK130 Black,6.45 ,11,0.0,0,Keyboard Only,USB,2,
286,Microsoft Surface Pro Type Cover Black,133.21 ,0,0.0,0,Keyboard with Touchpad,Dock,2,
287,Microsoft Surface Pro Signature Type Cover Charcoal Grey,144.00 ,0,0.0,0,Keyboard with Touchpad,Dock,6,
288,Everest MVLGR-2,5.29 ,5,0.0,0,Keyboard Only,USB,0,
289,Blow KP-23,7.80 ,3,0.0,0,Keyboard Only,USB,0,
290,Satechi Aluminum Bluetooth Keyboard Space Gray,79.90 ,4,3.0,2,Keyboard Only,Bluetooth,0,
